title,author,subject,year,abstract,tags,availability
Discrete mathematical structures,Bernard Kolman; Robert C. Busby; Sharon Cutler Ross,Computer Science,1996,Topics: computer science,computer science,unavailable
Genealogy online,Elizabeth Powell Crowe,Computer Science,1994,Topics: computer science,computer science,available
A mind at play,Jimmy Soni; Rob Goodman,Computer Science,2017,Topics: computer science,computer science,unavailable
Cryptography engineering,Niels Ferguson; Bruce Schneier; Tadayoshi Kohno,Computer Science,2010,Design Principles and Practical Applications,computer science,available
Discovering computers,Gary B. Shelly; Thomas J. Cashman; Misty E. Vermaat,Computer Science,2006,fundamentals,computer science,available
Horizons in computer science research,Thomas S. Clary,Computer Science,2010,Topics: computer science,computer science,unavailable
SAS(R) 9.1.3 Intelligence Platform,SAS Publishing,Computer Science,2006,Topics: computer science,computer science,available
How to Design Programs,Matthias Felleisen,Computer Science,2001,An Introduction to Programming and Computing,computer science,available
Natural Language Processing and Information Systems,Elisabeth Métais,Computer Science,2005,Topics: computer science,computer science,available
Business intelligence,Rajiv Sabherwal,Computer Science,2010,"practices, technologies, and management",computer science,available
PGP source code and internals,Philip Zimmermann,Computer Science,1995,Topics: computer science,computer science,available
Your Office,Amy Kinser,Computer Science,2012,Topics: computer science,computer science,available
Crafting Interpreters,Robert Nystrom,Computer Science,2021,Topics: computer science,computer science,unavailable
Inside COM,Dale Rogerson,Computer Science,1997,Topics: computer science,computer science,unavailable
Computer networks,Larry L. Peterson; Bruce S. Davie,Computer Science,1996,Topics: computer science,computer science,available
Advanced compiler design and implementation,Steven S. Muchnick,Computer Science,1997,Topics: computer science,computer science,available
System software,Leland L. Beck,Computer Science,1985,Topics: computer science,computer science,available
Introduction to expert systems,"Jackson, Peter",Computer Science,1986,Topics: computer science,computer science,available
Social Media Communication,Jeremy Harris Lipschultz,Computer Science,2014,Topics: computer science,computer science,available
Cooking for Geeks,Jeff Potter; Jeff Potter,Computer Science,2010,Topics: computer science,computer science,available
Python scripts for Abaqus,Gautam Puri,Computer Science,2011,Topics: computer science,computer science,available
The Creativity Code,Marcus du Sautoy,Computer Science,2019,Art and Innovation in the Age of AI,computer science,available
Understanding computers,Deborah Morley,Computer Science,2010,Topics: computer science,computer science,available
Data structures and algorithms in Java,Michael T. Goodrich; Roberto Tamassia,Computer Science,2001,Topics: computer science,computer science,available
Introduction to modern cryptography,Jonathan Katz; Yehuda Lindell,Computer Science,2007,Topics: computer science,computer science,unavailable
The Usborne Complete Book of Astronomy and Space (Complete Books Series),Lisa Miles; Alastair Smith; Alastair Smith Lisa Miles,Computer Science,1998,Topics: computer science,computer science,available
Introduction to graph theory,Robin J. Wilson,Computer Science,1972,Topics: computer science,computer science,available
Algorithm design,Jon Kleinberg; Éva Tardos,Computer Science,1922,Topics: computer science,computer science,available
Construction management jumpstart,Barbara J. Jackson,Computer Science,2006,Topics: computer science,computer science,available
Cloud computing,Rajkumar Buyya; James Broberg,Computer Science,2010,Topics: computer science,computer science,available
George and the Unbreakable Code,Lucy Hawking; Stephen Hawking,Computer Science,2014,Topics: computer science,computer science,available
Ethical and social issues in the information age,Joseph Migga Kizza,Computer Science,1998,Topics: computer science,computer science,unavailable
The Elements of Statistical Learning,Jerome Friedman; Robert Tibshirani,Computer Science,2009,Topics: computer science,computer science,unavailable
The information society,"Masuda, Yoneji",Computer Science,1980,Topics: computer science,computer science,available
The Rhesus Chart,Charles Stross,Computer Science,2014,Topics: computer science,computer science,available
How to diagnose and fix everything electronic,Michael Jay Geier; Norman Gjord,Computer Science,2011,Topics: computer science,computer science,unavailable
Computer Science,Robert Sedgewick; Kevin Wayne,Computer Science,2016,Topics: computer science,computer science,available
A guide to expert systems,D. A. Waterman,Computer Science,1986,Topics: computer science,computer science,available
The Ruby programming language,David Flanagan; Yukihiro Matsumoto,Computer Science,2007,Topics: computer science,computer science,available
Data-structures and programming,Malcolm C. Harrison,Computer Science,1970,Topics: computer science,computer science,available
Think Stats,Allen B. Downey,Computer Science,2011,Topics: computer science,computer science,available
Natural Language Processing With Python,Edward Loper; Steven Bird; Ewan Klein,Computer Science,2009,Analyzing Text with the Natural Language Toolkit,computer science,available
101 design methods,Vijay Kumar,Computer Science,2012,Topics: computer science,computer science,unavailable
Fundamentals of Computing,Kamaljeet Sanghera,Computer Science,2005,Topics: computer science,computer science,available
Life in code,Ellen Ullman,Computer Science,2017,Topics: computer science,computer science,available
CSS Cookbook,Christopher Schmitt,Computer Science,2004,Topics: computer science,computer science,available
e-Business and Telecommunications,Mohammad S. Obaidat; Joaquim Filipe,Computer Science,2008,Topics: computer science,computer science,available
Alone Together,Sherry Turkle,Computer Science,2011,Why We Expect More from Technology and Less from Each Other,computer science,available
Advances in Computational Intelligence,Ignacio Rojas,Computer Science,2013,Topics: computer science,computer science,unavailable
Things a Computer Scientist Rarely Talks About,Donald Knuth,Computer Science,2001,Topics: computer science,computer science,available
Programming PHP,Rasmus Lerdorf; Kevin Tatroe; Peter MacIntyre,Computer Science,2002,Topics: computer science,computer science,available
Computability and logic,George Boolos; Richard C. Jeffrey; George S. Boolos,Computer Science,1974,Topics: computer science,computer science,available
Data Science and Big Data Analytics,EMC Education Services,Computer Science,2014,Topics: computer science,computer science,available
Chaos and fractals,Heinz-Otto Peitgen; Hartmut Jürgens; Dietmar Saupe,Computer Science,1992,Topics: computer science,computer science,available
The rule of thoughts,James Dashner,Computer Science,2014,Topics: computer science,computer science,unavailable
R for Data Science,Hadley Wickham; Garrett Grolemund,Computer Science,2017,"Import, Tidy, Transform, Visualize, and Model Data",computer science,unavailable
Understanding Computers Today and Tomorrow,Deborah Morley,Computer Science,2003,Topics: computer science,computer science,available
Bioinformatics and Functional Genomics,Jonathan Pevsner,Computer Science,2003,Topics: computer science,computer science,available
Techgnosis,Erik Davis,Computer Science,1998,Topics: computer science,computer science,available
Hadoop,Tom White; Tom White,Computer Science,2009,The Definitive Guide,computer science,available
The net delusion,Evgeny Morozov; E. Morozov; Eduardo G. Murillo,Computer Science,2011,Topics: computer science,computer science,available
Data structures,Jeffrey Esakov,Computer Science,1988,Topics: computer science,computer science,available
Foundations and Practice of Security,Joaquin Garcia-Alfaro,Computer Science,2012,Topics: computer science,computer science,available
High Performance MySQL,Jeremy D. Zawodny; Derek J. Balling; Baron Schwartz,Computer Science,2004,Topics: computer science,computer science,available
Foundations of Python network programming,John Goerzen; Brandon Rhodes,Computer Science,2004,Topics: computer science,computer science,unavailable
Programming Collective Intelligence,Toby Segaran,Computer Science,2007,Building Smart Web 2.0 Applications,computer science,unavailable
Learn Java for Android Development,Jeff Friesen,Computer Science,2010,Topics: computer science,computer science,unavailable
Reinforcement Learning,Richard S. Sutton,Computer Science,1992,Topics: computer science,computer science,available
Introduction to computer theory,Daniel I. A. Cohen,Computer Science,1986,Topics: computer science,computer science,available
Artificial intelligence for games,Ian Millington,Computer Science,2006,Topics: computer science,computer science,available
Computer concepts basics,Dolores Wells Pusins; Ann Ambrose; Dolores Wells,Computer Science,2000,Topics: computer science,computer science,unavailable
Python for Data Science for Dummies,John Paul Mueller; Luca Massaron,Computer Science,2015,Topics: computer science,computer science,available
System dynamics,Dean Karnopp; Dean C. Karnopp; Donald L. Margolis,Computer Science,1975,Topics: computer science,computer science,available
